CMDLINE /usr/bin/python3 rrt.py
MEM 63.675781 1717599076.0039
MEM 63.675781 1717599076.1046
MEM 63.675781 1717599076.2052
MEM 63.675781 1717599076.3056
MEM 63.675781 1717599076.4063
MEM 63.675781 1717599076.5069
MEM 63.675781 1717599076.6076
MEM 63.675781 1717599076.7084
MEM 63.675781 1717599076.8086
MEM 63.675781 1717599076.9093
MEM 63.675781 1717599077.0099
MEM 63.675781 1717599077.1106
MEM 63.675781 1717599077.2113
MEM 63.675781 1717599077.3116
MEM 63.675781 1717599077.4123
MEM 63.675781 1717599077.5126
MEM 63.675781 1717599077.6133
MEM 63.675781 1717599077.7136
MEM 63.675781 1717599077.8143
MEM 63.675781 1717599077.9150
MEM 63.675781 1717599078.0156
MEM 63.675781 1717599078.1162
MEM 63.675781 1717599078.2166
MEM 63.675781 1717599078.3172
MEM 63.675781 1717599078.4179
MEM 63.675781 1717599078.5185
MEM 63.675781 1717599078.6192
MEM 63.675781 1717599078.7197
MEM 63.675781 1717599078.8203
MEM 63.675781 1717599078.9210
MEM 63.675781 1717599079.0217
MEM 63.675781 1717599079.1223
MEM 63.675781 1717599079.2229
MEM 63.675781 1717599079.3236
MEM 63.675781 1717599079.4243
MEM 63.675781 1717599079.5249
MEM 63.675781 1717599079.6255
MEM 63.675781 1717599079.7262
MEM 63.675781 1717599079.8269
MEM 63.675781 1717599079.9275
MEM 63.675781 1717599080.0282
MEM 63.675781 1717599080.1289
MEM 63.675781 1717599080.2295
MEM 63.675781 1717599080.3302
MEM 63.675781 1717599080.4306
MEM 63.675781 1717599080.5312
MEM 63.675781 1717599080.6319
MEM 63.675781 1717599080.7326
MEM 63.675781 1717599080.8332
MEM 63.675781 1717599080.9339
MEM 63.675781 1717599081.0346
MEM 63.675781 1717599081.1352
MEM 63.675781 1717599081.2359
MEM 63.675781 1717599081.3366
MEM 63.675781 1717599081.4372
MEM 63.675781 1717599081.5379
MEM 63.675781 1717599081.6386
MEM 63.675781 1717599081.7393
MEM 63.675781 1717599081.8399
MEM 63.675781 1717599081.9405
MEM 63.675781 1717599082.0411
MEM 63.675781 1717599082.1416
MEM 63.675781 1717599082.2423
MEM 63.675781 1717599082.3426
MEM 63.675781 1717599082.4432
MEM 63.675781 1717599082.5436
MEM 63.675781 1717599082.6443
MEM 63.675781 1717599082.7446
MEM 63.675781 1717599082.8453
MEM 63.675781 1717599082.9456
MEM 63.675781 1717599083.0463
MEM 63.675781 1717599083.1466
MEM 63.675781 1717599083.2473
MEM 63.675781 1717599083.3476
MEM 63.675781 1717599083.4483
MEM 63.675781 1717599083.5490
MEM 63.675781 1717599083.6496
MEM 63.675781 1717599083.7503
MEM 63.675781 1717599083.8506
MEM 63.675781 1717599083.9513
MEM 63.675781 1717599084.0519
MEM 63.675781 1717599084.1526
MEM 63.675781 1717599084.2533
MEM 63.675781 1717599084.3539
MEM 63.675781 1717599084.4546
MEM 63.675781 1717599084.5552
MEM 63.675781 1717599084.6558
MEM 63.675781 1717599084.7565
MEM 63.675781 1717599084.8572
MEM 63.675781 1717599084.9576
MEM 63.675781 1717599085.0581
MEM 63.675781 1717599085.1586
MEM 63.675781 1717599085.2593
MEM 63.675781 1717599085.3599
MEM 63.675781 1717599085.4606
MEM 63.675781 1717599085.5612
MEM 63.675781 1717599085.6619
MEM 63.921875 1717599085.7625
MEM 63.921875 1717599085.8632
MEM 63.921875 1717599085.9638
MEM 63.921875 1717599086.0644
MEM 63.921875 1717599086.1651
MEM 63.921875 1717599086.2657
MEM 63.921875 1717599086.3663
MEM 63.921875 1717599086.4670
MEM 63.921875 1717599086.5676
MEM 63.921875 1717599086.6682
MEM 63.921875 1717599086.7689
MEM 63.921875 1717599086.8695
MEM 63.921875 1717599086.9701
MEM 63.921875 1717599087.0707
MEM 63.921875 1717599087.1714
MEM 63.921875 1717599087.2716
MEM 63.921875 1717599087.3723
MEM 63.921875 1717599087.4727
MEM 63.921875 1717599087.5734
MEM 63.921875 1717599087.6736
MEM 63.921875 1717599087.7743
MEM 63.921875 1717599087.8746
MEM 63.921875 1717599087.9753
MEM 63.921875 1717599088.0756
MEM 63.921875 1717599088.1763
MEM 63.921875 1717599088.2766
MEM 63.921875 1717599088.3773
MEM 63.921875 1717599088.4776
MEM 63.921875 1717599088.5783
MEM 63.921875 1717599088.6786
MEM 63.921875 1717599088.7793
MEM 63.921875 1717599088.8797
MEM 63.921875 1717599088.9803
MEM 63.921875 1717599089.0806
MEM 63.921875 1717599089.1813
MEM 63.921875 1717599089.2816
MEM 63.921875 1717599089.3823
MEM 63.921875 1717599089.4826
MEM 63.921875 1717599089.5833
MEM 63.921875 1717599089.6836
MEM 63.921875 1717599089.7843
MEM 63.921875 1717599089.8847
MEM 63.921875 1717599089.9853
MEM 63.921875 1717599090.0856
MEM 63.921875 1717599090.1863
MEM 63.921875 1717599090.2866
MEM 63.921875 1717599090.3873
MEM 63.921875 1717599090.4877
MEM 63.921875 1717599090.5883
MEM 63.921875 1717599090.6886
MEM 63.921875 1717599090.7893
MEM 63.921875 1717599090.8896
MEM 63.921875 1717599090.9903
MEM 63.921875 1717599091.0907
MEM 63.921875 1717599091.1914
MEM 63.921875 1717599091.2916
MEM 63.921875 1717599091.3923
MEM 63.921875 1717599091.4927
MEM 63.921875 1717599091.5934
